,x,y,z
0.0,-1.2024434431,-0.342433274419,-0.00314960646517
0.1,-1.20190891276,-0.436998050937,-0.00292122226132
0.2,-1.20137438242,-0.531562827455,-0.00269283805747
0.3,-1.20083985208,-0.626127603973,-0.00246445385362
0.4,-1.20030532174,-0.720692380491,-0.00223606964977
0.5,-1.1997707914,-0.815257157009,-0.00200768544592
0.6,-1.19923626106,-0.909821933527,-0.00177930124207
0.7,-1.19870173072,-1.00438671005,-0.00155091703822
0.8,-1.19816720038,-1.09895148656,-0.00132253283437
0.9,-1.19763267004,-1.19351626308,-0.00109414863052
1.0,-1.1970981397,-1.2880810396,-0.000865764426668
1.1,-1.19656360936,-1.38264581612,-0.000637380222818
1.13479875615,-1.19602907902,-1.47721059264,-0.000408996018968
1.2,-1.19653820027,-1.57169266184,-0.000881978556685
1.3,-1.19704732152,-1.66617473105,-0.0013549610944
1.4,-1.19755644277,-1.76065680026,-0.00182794363212
1.5,-1.19806556402,-1.85513886947,-0.00230092616984
1.6,-1.19857468528,-1.94962093868,-0.00277390870755
1.7,-1.19908380653,-2.04410300789,-0.00324689124527
1.8,-1.19959292778,-2.1385850771,-0.00371987378299
1.9,-1.20010204903,-2.23306714631,-0.0041928563207
2.0,-1.20061117028,-2.32754921552,-0.00466583885842
2.1,-1.20112029153,-2.42203128473,-0.00513882139614
2.2,-1.20162941278,-2.51651335394,-0.00561180393386
2.3,-1.20213853403,-2.61099542315,-0.00608478647157
2.4,-1.20264765528,-2.70547749236,-0.00655776900929
2.45758350301,-1.20315677653,-2.79995956157,-0.00703075154701
2.5,-1.20345105841,-2.89092939406,-0.00456071788863
2.6,-1.2037453403,-2.98189922656,-0.00209068423025
2.7,-1.20403962218,-3.07286905905,0.000379349428132
2.8,-1.20433390406,-3.16383889155,0.00284938308651
2.9,-1.20462818594,-3.25480872404,0.00531941674489
3.0,-1.20492246782,-3.34577855654,0.00778945040327
3.1,-1.2052167497,-3.43674838903,0.0102594840617
3.2,-1.20551103158,-3.52771822153,0.01272951772
3.3,-1.20580531346,-3.61868805402,0.0151995513784
3.4,-1.20609959534,-3.70965788652,0.0176695850368
3.5,-1.20639387722,-3.80062771901,0.0201396186952
3.6,-1.20668815911,-3.89159755151,0.0226096523535
3.7,-1.20698244099,-3.982567384,0.0250796860119
3.73163720128,-1.20727672287,-4.0735372165,0.0275497196703
3.8,-1.20578761106,-4.1645057592,0.0254540442759
3.9,-1.20429849925,-4.25547430191,0.0233583688814
4.0,-1.20280938744,-4.34644284461,0.021262693487
4.1,-1.20132027563,-4.43741138732,0.0191670180926
4.2,-1.19983116383,-4.52837993003,0.0170713426981
4.3,-1.19834205202,-4.61934847273,0.0149756673037
4.4,-1.19685294021,-4.71031701544,0.0128799919093
4.5,-1.1953638284,-4.80128555814,0.0107843165148
4.6,-1.19387471659,-4.89225410085,0.00868864112038
4.7,-1.19238560478,-4.98322264356,0.00659296572594
4.8,-1.19089649298,-5.07419118626,0.0044972903315
4.9,-1.18940738117,-5.16515972897,0.00240161493707
5.0,-1.18791826936,-5.25612827167,0.000305939542631
5.00570528187,-1.18642915755,-5.34709681438,-0.00178973585181
5.1,-1.09338819465,-5.35091625361,-0.0034832520732
5.2,-1.00034723175,-5.35473569285,-0.0051767682946
5.3,-0.907306268846,-5.35855513208,-0.00687028451599
5.4,-0.814265305945,-5.36237457131,-0.00856380073739
5.47137890392,-0.721224343043,-5.36619401054,-0.0102573169588
5.5,-0.722386678763,-5.2780114984,-0.00924047297029
5.6,-0.723549014482,-5.18982898626,-0.00822362898179
5.7,-0.724711350201,-5.10164647412,-0.0072067849933
5.8,-0.725873685921,-5.01346396199,-0.00618994100481
5.9,-0.72703602164,-4.92528144985,-0.00517309701632
6.0,-0.72819835736,-4.83709893771,-0.00415625302782
6.1,-0.729360693079,-4.74891642557,-0.00313940903933
6.2,-0.730523028799,-4.66073391343,-0.00212256505084
6.3,-0.731685364518,-4.57255140129,-0.00110572106234
6.4,-0.732847700238,-4.48436888915,-8.88770738491e-05
6.5,-0.734010035957,-4.39618637701,0.000927966914644
6.52973131396,-0.735172371677,-4.30800386487,0.00194481090314
6.6,-0.736032728192,-4.21711628793,0.00200006132151
6.7,-0.736893084707,-4.12622871099,0.00205531173989
6.8,-0.737753441222,-4.03534113405,0.00211056215826
6.9,-0.738613797737,-3.94445355711,0.00216581257664
7.0,-0.739474154252,-3.85356598016,0.00222106299502
7.1,-0.740334510767,-3.76267840322,0.00227631341339
7.2,-0.741194867282,-3.67179082628,0.00233156383177
7.3,-0.742055223797,-3.58090324934,0.00238681425014
7.4,-0.742915580312,-3.4900156724,0.00244206466852
7.5,-0.743775936828,-3.39912809546,0.00249731508689
7.52953963753,-0.744636293343,-3.30824051852,0.00255256550527
7.6,-0.74523795117,-3.21312302726,0.00253603852067
7.7,-0.745839608998,-3.11800553601,0.00251951153608
7.8,-0.746441266826,-3.02288804476,0.00250298455148
7.9,-0.747042924654,-2.92777055351,0.00248645756688
8.0,-0.747644582481,-2.83265306226,0.00246993058229
8.1,-0.748246240309,-2.73753557101,0.00245340359769
8.2,-0.748847898137,-2.64241807976,0.00243687661309
8.3,-0.749449555965,-2.54730058851,0.0024203496285
8.4,-0.750051213793,-2.45218309726,0.0024038226439
8.5,-0.75065287162,-2.35706560601,0.0023872956593
8.57585298843,-0.751254529448,-2.26194811475,0.00237076867471
8.6,-0.751169285532,-2.16582275488,0.00208661804081
8.7,-0.751084041616,-2.06969739501,0.00180246740692
