,Unnamed: 0,Unnamed: 0.1,x,y,z
0.0,1.0,1.0,1.30081391421,-1.35816348014,-0.0135986722406
0.08,1.171449407364337,1.171449407364337,1.2945213299573537,-1.437915446567377,-0.013433643788848475
0.16,1.342898814728674,1.342898814728674,1.2882287457047077,-1.5176674129947538,-0.013268615337096952
0.24,1.514348222093011,1.514348222093011,1.2819361614520617,-1.597419379422131,-0.01310358688534543
0.32,1.685797629457348,1.685797629457348,1.2756435771994155,-1.6771713458495079,-0.012938558433593907
0.4,1.857247036821685,1.857247036821685,1.2693509929467695,-1.7569233122768848,-0.012773529981842382
0.46660995351238943,2.0,2.0,1.26411163364,-1.82332674698,-0.0126361232631
0.48000000000000004,2.029403608349008,2.029403608349008,1.264190121752648,-1.836716545164389,-0.01265823972490288
0.5599999999999999,2.205078029651215,2.205078029651215,1.2646590558237634,-1.916715061655145,-0.0127903764539178
0.64,2.380752450953423,2.380752450953423,1.2651279898948784,-1.9967135781459011,-0.01292251318293272
0.72,2.5564268722556305,2.5564268722556305,1.2655969239659937,-2.0767120946366573,-0.013054649911947637
0.7999999999999999,2.7321012935578377,2.7321012935578377,1.2660658580371087,-2.156710611127414,-0.013186786640962556
0.88,2.907775714860045,2.907775714860045,1.2665347921082237,-2.23670912761817,-0.013318923369977476
0.9219978204937664,3.0,3.0,1.26678096972,-2.27870616931,-0.0133882915528
0.96,3.328300144279042,3.328300144279042,1.296984833138684,-2.301663850667204,-0.011188939714054784
1.0377522000408348,4.0,4.0,1.3587817316600002,-2.34863511012,-0.006689080854689999
1.04,4.004941107232073,4.004941107232073,1.361029344279082,-2.34861179212813,-0.006706356335062021
1.12,4.18079687097746,4.18079687097746,1.4410226767788878,-2.3477818965042077,-0.0073211968257056005
1.2000000000000002,4.356652634722847,4.356652634722847,1.5210160092786935,-2.346952000880285,-0.00793603731634918
1.28,4.5325083984682335,4.5325083984682335,1.601009341778499,-2.346122105256362,-0.00855087780699276
1.36,4.70836416221362,4.70836416221362,1.6810026742783046,-2.345292209632439,-0.009165718297636337
1.4400000000000002,4.884219925959007,4.884219925959007,1.7609960067781103,-2.3444623140085166,-0.009780558788279917
1.4926704711065941,5.0,5.0,1.81366208813,-2.3439159265900003,-0.010185358017
1.52,5.0631491864604286,5.0631491864604286,1.840962719505061,-2.3426986413903306,-0.010496634102191156
1.6,5.248001802710729,5.248001802710729,1.9208781296287913,-2.339135359478175,-0.011407812882931167
1.6800000000000002,5.43285441896103,5.43285441896103,2.000793539752522,-2.3355720775660194,-0.012318991663671178
1.76,5.617707035211332,5.617707035211332,2.0807089498762523,-2.332008795653864,-0.013230170444411186
1.84,5.8025596514616335,5.8025596514616335,2.160624359999983,-2.328445513741709,-0.014141349225151197
1.9200000000000002,5.9874122677119335,5.9874122677119335,2.2405397701237133,-2.3248822318295534,-0.015052528005891208
1.9254476836924057,6.0,6.0,2.24598169358,-2.32463958642,-0.0151145756782
2.0,6.918378741560426,6.918378741560426,2.2946838780427115,-2.2684304222882163,-0.020279356699102087
2.006625865344261,7.0,7.0,2.29901230313,-2.2634348115400003,-0.020738378568200003
2.08,7.155545796844172,7.155545796844172,2.3024290330507924,-2.1901415853379578,-0.021177224809130032
2.16,7.325137762813075,7.325137762813075,2.306154302111148,-2.1102298000245927,-0.02165569994807542
2.24,7.494729728781978,7.494729728781978,2.3098795711715034,-2.0303180147112276,-0.022134175087020813
2.3200000000000003,7.66432169475088,7.66432169475088,2.3136048402318585,-1.9504062293978621,-0.022612650225966195
2.4,7.833913660719781,7.833913660719781,2.317330109292214,-1.8704944440844975,-0.02309112536491158
2.4783463241699426,8.0,8.0,2.32097837351,-1.7922345111200002,-0.023559709969200003
2.48,8.003802959795083,8.003802959795083,2.3209695865843636,-1.7905808644196155,-0.023564083887464497
2.56,8.187779031814049,8.187779031814049,2.3205445008220207,-1.7105822736279865,-0.023775681260298703
2.64,8.371755103833014,8.371755103833014,2.320119415059678,-1.630583682836358,-0.023987278633132915
2.72,8.55573117585198,8.55573117585198,2.3196943292973344,-1.550585092044729,-0.02419887600596712
2.8000000000000003,8.739707247870946,8.739707247870946,2.3192692435349915,-1.4705865012531003,-0.02441047337880133
2.8800000000000003,8.92368331988991,8.92368331988991,2.3188441577726486,-1.3905879104614716,-0.024622070751635538
2.913185480817189,9.0,9.0,2.31866782433,-1.35740301421,-0.0247098452586
2.96,9.04599060491461,9.04599060491461,2.271856107288879,-1.3574379884981376,-0.02419883569019128
3.04,9.124582641261313,9.124582641261313,2.1918608957890955,-1.3574977550641487,-0.02332558597650613
3.12,9.203174677608015,9.203174677608015,2.1118656842893113,-1.3575575216301594,-0.022452336262820977
3.2,9.281766713954717,9.281766713954717,2.031870472789528,-1.3576172881961706,-0.021579086549135824
3.2800000000000002,9.360358750301419,9.360358750301419,1.9518752612897443,-1.3576770547621817,-0.02070583683545068
3.3600000000000003,9.438950786648121,9.438950786648121,1.8718800497899601,-1.3577368213281926,-0.019832587121765527
3.44,9.517542822994823,9.517542822994823,1.7918848382901769,-1.3577965878942035,-0.018959337408080378
3.52,9.596134859341525,9.596134859341525,1.711889626790393,-1.3578563544602145,-0.018086087694395226
3.6,9.674726895688227,9.674726895688227,1.6318944152906092,-1.3579161210262256,-0.017212837980710077
3.68,9.75331893203493,9.75331893203493,1.5518992037908252,-1.3579758875922365,-0.016339588267024925
3.7600000000000002,9.831910968381631,9.831910968381631,1.4719039922910413,-1.3580356541582475,-0.015466338553339773
3.8400000000000003,9.910503004728334,9.910503004728334,1.3919087807912576,-1.3580954207242584,-0.014593088839654622
3.92,9.989095041075034,9.989095041075034,1.3119135692914743,-1.3581551872902693,-0.013719839125969477
3.9311003195050036,10.0,10.0,1.30081391421,-1.35816348014,-0.0135986722406
