,x,y,z
0.0,2.3887145924400004,-6.38253624242,-0.00942518795344
0.08,2.4687122792061382,-6.382870448574652,-0.009933536567223736
0.16,2.5487099659722756,-6.383204654729303,-0.010441885181007473
0.24,2.628707652738413,-6.383538860883955,-0.010950233794791209
0.32,2.708705339504551,-6.383873067038607,-0.011458582408574947
0.4,2.7887030262706882,-6.384207273193258,-0.011966931022358683
0.48000000000000004,2.8687007130368256,-6.384541479347911,-0.012475279636142419
0.5599999999999999,2.948698399802963,-6.384875685502562,-0.012983628249926155
0.64,3.028696086569101,-6.3852098916572135,-0.013491976863709891
0.72,3.108693773335238,-6.3855440978118665,-0.014000325477493627
0.7999999999999999,3.1886914601013756,-6.385878303966518,-0.014508674091277363
0.88,3.2686891468675134,-6.38621251012117,-0.015017022705061101
0.96,3.348686833633651,-6.386546716275822,-0.015525371318844837
0.9878141195333886,3.37650014891,-6.3866629119,-0.0157021121827
1.04,3.3763482670480998,-6.33448018528981,-0.016255371165150568
1.12,3.376115434932529,-6.254485020094004,-0.01710350706321908
1.2000000000000002,3.375882602816958,-6.174489854898198,-0.01795164296128759
1.28,3.375649770701387,-6.094494689702391,-0.0187997788593561
1.36,3.3754169385858157,-6.014499524506585,-0.01964791475742461
1.4400000000000002,3.375184106470245,-5.934504359310779,-0.02049605065549312
1.52,3.3749512743546735,-5.854509194114971,-0.021344186553561628
1.6,3.3747184422391023,-5.774514028919166,-0.02219232245163014
1.6800000000000002,3.374485610123531,-5.694518863723358,-0.023040458349698652
1.76,3.3742527780079596,-5.614523698527552,-0.02388859424776716
1.84,3.374019945892389,-5.534528533331746,-0.02473673014583567
1.9200000000000002,3.3737871137768174,-5.454533368135939,-0.02558486604390418
2.0,3.3735542816612467,-5.3745382029401325,-0.02643300194197269
2.0437207421954797,3.3734270367500003,-5.33082010301,-0.0268965160788
2.08,3.4096361335483554,-5.332141528313325,-0.025069033914198312
2.16,3.48948142033665,-5.335055425417712,-0.02103922233547525
2.24,3.5693267071249446,-5.3379693225221025,-0.017009410756752195
2.3200000000000003,3.6491719939132397,-5.340883219626491,-0.012979599178029134
2.4,3.729017280701534,-5.3437971167308795,-0.008949787599306099
2.48,3.8088625674898284,-5.346711013835269,-0.004919976020583039
2.5214260136353923,3.85020846673,-5.3482199031,-0.00283323815298
2.56,3.8488642490474425,-5.386724422715765,-0.004716711550214884
2.64,3.846076426871427,-5.466580353086689,-0.008622915859890284
2.72,3.8432886046954113,-5.546436283457614,-0.012529120169565684
2.8000000000000003,3.8405007825193955,-5.626292213828538,-0.016435324479241085
2.8800000000000003,3.8377129603433806,-5.706148144199464,-0.020341528788916485
2.96,3.834925138167365,-5.786004074570388,-0.024247733098591864
3.04,3.8321373159913494,-5.865860004941313,-0.028153937408267264
3.082872572123227,3.83064330215,-5.908655369119999,-0.0302473002332
3.12,3.8297623708391484,-5.945768868671551,-0.030755248860040513
3.2,3.827864191813603,-6.025738856734785,-0.03184974671435223
3.2800000000000002,3.8259660127880575,-6.10570884479802,-0.03294424456866394
3.3600000000000003,3.824067833762512,-6.185678832861255,-0.03403874242297566
3.44,3.8221696547369666,-6.265648820924489,-0.03513324027728737
3.52,3.8202714757114213,-6.345618808987724,-0.03622773813159909
3.5973166449205047,3.818436965290001,-6.42290644863,-0.0372855244062
3.6,3.8175451769567372,-6.425436494350488,-0.037222463296550594
3.68,3.790957914165372,-6.50086581758306,-0.03534239576076216
3.7600000000000002,3.7643706513740067,-6.576295140815631,-0.03346232822497372
3.8400000000000003,3.737783388582641,-6.651724464048202,-0.031582260689185286
3.92,3.7111961257912753,-6.727153787280773,-0.02970219315339686
3.926254723692581,3.70911742601,-6.73305115697,-0.0295552018664
4.0,3.638355922850055,-6.753144462474244,-0.0347929993153056
4.08,3.561592765448662,-6.77494198661177,-0.0404750418391641
4.16,3.4848296080472694,-6.796739510749296,-0.0461570843630226
4.200051117445643,3.44639898014,-6.80765220074,-0.0490017362687
4.24,3.406496129325713,-6.8074948883510675,-0.047090985880272385
4.32,3.326588310607645,-6.807179860988352,-0.043264595220503216
4.4,3.2466804918895775,-6.806864833625637,-0.03943820456073405
4.48,3.1667726731715096,-6.806549806262922,-0.03561181390096488
4.5600000000000005,3.0868648544534416,-6.8062347789002065,-0.0317854232411957
4.640000000000001,3.0069570357353737,-6.80591975153749,-0.02795903258142653
4.688250025230111,2.95876260737,-6.80572975056,-0.025651239508
4.72,2.927031538360777,-6.8059104728387165,-0.02673174720275711
4.8,2.8470791749609368,-6.806365836422534,-0.02945428843962604
4.88,2.7671268115610967,-6.806821200006354,-0.03217682967649497
4.96,2.6871744481612567,-6.807276563590172,-0.0348993709133639
5.04,2.6072220847614167,-6.807731927173989,-0.03762191215023283
5.12,2.5272697213615762,-6.8081872907578065,-0.040344453387101756
5.2,2.447317357961736,-6.808642654341624,-0.04306699462397068
5.28,2.367364994561896,-6.809098017925442,-0.04578953586083961
5.284088222314543,2.36327920661,-6.80912128827,-0.0459286652838
5.36,2.367781072590311,-6.7336190443309105,-0.039467832967162705
5.44,2.3725253861791353,-6.654050633482269,-0.0326590530770034
5.5200000000000005,2.3772696997679588,-6.574482222633627,-0.025850273186844082
5.6000000000000005,2.3820140133567826,-6.4949138117849845,-0.01904149329668477
5.680000000000001,2.386758326945606,-6.415345400936342,-0.01223271340652546
5.712987119553014,2.3887145924400004,-6.38253624242,-0.00942518795344
