,x,y,z
0.0,-0.200611775934,-2.31480410188,-0.00199028422313
0.1,-0.199152300617,-2.41087308521,-0.00233916125963
0.2,-0.197692825299,-2.50694206855,-0.00268803829614
0.3,-0.196233349982,-2.60301105188,-0.00303691533264
0.4,-0.194773874664,-2.69908003521,-0.00338579236915
0.5,-0.193314399347,-2.79514901854,-0.00373466940565
0.6,-0.191854924029,-2.89121800187,-0.00408354644215
0.7,-0.190395448712,-2.9872869852,-0.00443242347866
0.8,-0.188935973394,-3.08335596853,-0.00478130051516
0.9,-0.187476498077,-3.17942495186,-0.00513017755167
1.0,-0.186017022759,-3.2754939352,-0.00547905458817
1.1,-0.184557547442,-3.37156291853,-0.00582793162467
1.2,-0.183098072124,-3.46763190186,-0.00617680866118
1.3,-0.181638596807,-3.56370088519,-0.00652568569768
1.4,-0.180179121489,-3.65976986852,-0.00687456273419
1.5,-0.178719646172,-3.75583885185,-0.00722343977069
1.6,-0.177260170854,-3.85190783518,-0.00757231680719
1.7,-0.175800695537,-3.94797681851,-0.0079211938437
1.8,-0.17434122022,-4.04404580185,-0.0082700708802
1.9,-0.172881744902,-4.14011478518,-0.00861894791671
2.0,-0.171422269585,-4.23618376851,-0.00896782495321
2.01769474691,-0.169962794267,-4.33225275184,-0.00931670198971
2.1,-0.0836571069054,-4.32925270578,-0.00829666907004
2.2,0.00264858045619,-4.32625265973,-0.00727663615037
2.3,0.0889542678178,-4.32325261367,-0.0062566032307
2.4,0.175259955179,-4.32025256761,-0.00523657031103
2.44951393402,0.261565642541,-4.31725252156,-0.00421653739136
2.5,0.261409784918,-4.22290721563,-0.00413803600391
2.6,0.261253927295,-4.12856190971,-0.00405953461647
2.7,0.261098069672,-4.03421660379,-0.00398103322902
2.8,0.260942212049,-3.93987129787,-0.00390253184157
2.9,0.260786354426,-3.84552599195,-0.00382403045412
3.0,0.260630496803,-3.75118068603,-0.00374552906667
3.1,0.26047463918,-3.65683538011,-0.00366702767922
3.2,0.260318781557,-3.56249007418,-0.00358852629177
3.3,0.260162923934,-3.46814476826,-0.00351002490432
3.4,0.260007066311,-3.37379946234,-0.00343152351687
3.5,0.259851208688,-3.27945415642,-0.00335302212943
3.6,0.259695351065,-3.1851088505,-0.00327452074198
3.7,0.259539493442,-3.09076354458,-0.00319601935453
3.8,0.259383635819,-2.99641823865,-0.00311751796708
3.9,0.259227778196,-2.90207293273,-0.00303901657963
4.0,0.259071920573,-2.80772762681,-0.00296051519218
4.1,0.25891606295,-2.71338232089,-0.00288201380473
4.2,0.258760205327,-2.61903701497,-0.00280351241728
4.3,0.258604347704,-2.52469170905,-0.00272501102984
4.4,0.258448490081,-2.43034640313,-0.00264650964239
4.4307687477,0.258292632458,-2.3360010972,-0.00256800825494
