,x,y,z
0.0,3.31672027233,-4.3370216195,-0.0278575889849
0.08,3.236754219689537,-4.339232600975949,-0.027121391989734997
0.16,3.156788167049074,-4.341443582451896,-0.026385194994569983
0.24,3.0768221144086105,-4.343654563927846,-0.02564899799940498
0.32,2.9968560617681472,-4.345865545403794,-0.02491280100423997
0.4,2.916890009127685,-4.348076526879743,-0.024176604009074967
0.48000000000000004,2.836923956487221,-4.350287508355692,-0.02344040701390996
0.5599999999999999,2.756957903846758,-4.35249848983164,-0.022704210018744952
0.64,2.676991851206295,-4.354709471307588,-0.021968013023579945
0.72,2.5970257985658316,-4.3569204527835375,-0.021231816028414938
0.7999999999999999,2.5170597459253683,-4.359131434259486,-0.02049561903324993
0.88,2.4370936932849054,-4.361342415735434,-0.019759422038084923
0.96,2.3571276406444426,-4.3635533972113825,-0.019023225042919915
0.9963856967435589,2.32075738388,-4.3645589984800015,-0.0186883870353
1.04,2.323100787296097,-4.408103176080299,-0.01947610912332737
1.12,2.3273991999563988,-4.487974547349066,-0.020920996748188904
1.2000000000000002,2.3316976126167015,-4.567845918617834,-0.022365884373050433
1.28,2.3359960252770033,-4.647717289886601,-0.02381077199791196
1.36,2.340294437937305,-4.7275886611553695,-0.025255659622773492
1.4084448569907497,2.34289738777,-4.77595562564,-0.0261306268022
1.4400000000000002,2.3744284210220674,-4.777185985939376,-0.026045739082406743
1.52,2.454367296894883,-4.780305250013737,-0.02583052796511059
1.6,2.5343061727676983,-4.783424514088099,-0.025615316847814436
1.6800000000000002,2.6142450486405133,-4.786543778162461,-0.025400105730518284
1.76,2.6941839245133288,-4.789663042236823,-0.025184894613222132
1.84,2.7741228003861442,-4.792782306311183,-0.024969683495925977
1.9200000000000002,2.8540616762589597,-4.795901570385546,-0.024754472378629825
2.0,2.934000552131775,-4.799020834459907,-0.02453926126133367
2.08,3.0139394280045906,-4.802140098534268,-0.024324050144037518
2.16,3.093878303877406,-4.80525936260863,-0.024108839026741366
2.24,3.1738171797502215,-4.808378626682992,-0.02389362790944521
2.3200000000000003,3.253756055623037,-4.8114978907573525,-0.023678416792149062
2.366753602110985,3.30047393557,-4.81332085115,-0.0235526431053
2.4,3.3016072487922283,-4.780095132334712,-0.023852947854512214
2.48,3.3043343128814255,-4.700144891887721,-0.024575563880981515
2.56,3.307061376970622,-4.6201946514407295,-0.025298179907450813
2.64,3.309788441059819,-4.540244410993738,-0.026020795933920114
2.72,3.3125155051490163,-4.460294170546748,-0.026743411960389415
2.8000000000000003,3.315242569238213,-4.380343930099756,-0.027466027986858717
2.84334927360573,3.31672027233,-4.3370216195,-0.0278575889849
